Node(5, 11, 8, 1)
Node(4, 10,Node(5, 11, 8, 1)
Node(4, 10, 8, 1)
Node(3, 5, 8, 1)
Node(2, 6, 8, 1)
Node(1, 7, 8, 1)
motor throttle setted to 100
motor throttle setted to 0
motor throttle setted to 20
motor throttle setted to 0
force scale loaded
torque scale loaded
motor throttle setted to 0
38.95,5.32
38.31,5.51
39.41,5.65
38.09,5.71
37.23,5.73
39.46,5.82
39.82,5.91
37.47,5.93
37.85,5.93
39.92,5.91
39.05,5.98
37.99,6.04
37.87,6.01
37.27,5.96
37.54,6.01
38.11,6.06
37.25,6.04
37.25,6.01
35.11,6.06
37.08,6.05
39.22,6.07
38.23,6.05
38.21,6.05
39.29,6.04
37.15,6.05
37.35,6.06
38.98,6.05
37.13,6.08
35.88,6.10
38.07,6.04
39.75,6.03
37.90,6.09
38.57,6.06
37.75,6.01
37.39,6.01
39.92,6.02
40.83,6.01
38.40,6.01
37.47,5.99
38.52,6.01
39.17,5.97
39.39,6.00
39.07,6.01
37.63,6.00
39.17,5.97
40.76,5.98
40.49,5.99
39.34,5.99
39.17,5.93
38.26,5.94
39.19,5.99
39.48,6.00
38.23,5.97
37.56,5.93
37.59,5.95
39.82,5.95
39.70,6.00
38.62,5.98
40.06,5.93
39.44,5.91
37.63,5.97
38.91,6.00
39.10,5.99
38.02,5.97
38.55,5.95
38.14,5.97
37.56,6.01
40.73,5.95
41.07,5.93
39.22,5.98
39.12,5.98
37.78,5.96
37.15,5.95
38.86,5.95
39.19,5.91
37.25,5.97
38.26,6.00
38.55,5.96
39.56,5.92
40.42,5.94
39.32,5.95
37.47,5.95
37.54,5.93
37.68,5.92
38.88,5.97
38.86,5.97
38.04,5.92
37.99,5.92
36.96,5.95
39.56,5.94
40.83,5.97
38.38,5.95
38.71,5.91
37.61,5.90
36.89,5.92
38.52,5.93
39.00,5.91
36.65,5.92
37.75,5.92
37.51,5.91
36.41,5.88
38.64,5.84
38.55,5.83
37.56,5.86
37.54,5.85
35.09,5.87
34.92,5.86
37.03,5.84
37.15,5.82
36.87,5.87
37.49,5.88
36.36,5.87
37.54,5.85
38.83,5.83
38.47,5.85
38.50,5.92
37.23,5.95
35.69,5.89
36.94,5.85
37.39,5.83
36.89,5.89
motor throttle setted to 40
33.74,5.90
33.38,5.89
33.48,5.96
32.83,6.00
31.94,5.99
29.95,5.97
30.21,5.93
32.54,5.93
30.96,5.98
30.81,6.00
31.68,5.96
30.72,5.91
32.76,5.94
34.56,5.96
31.75,5.98
30.33,5.95
31.03,5.93
30.55,5.97
31.97,6.00
33.14,5.99
30.53,6.01
30.07,5.98
32.40,6.00
33.02,6.01
33.72,6.03
32.71,6.01
30.93,6.00
31.77,6.00
31.85,6.00
31.39,5.98
30.96,6.01
31.32,5.97
30.16,6.04
31.44,6.03
32.23,5.99
33.43,5.95
32.11,6.03
31.20,6.02
29.80,6.05
31.39,6.01
31.22,5.99
33.53,5.97
30.89,6.06
31.03,6.02
29.95,5.99
28.77,5.93
31.34,5.92
32.76,5.91
29.28,5.96
29.78,5.91
29.20,5.86
28.68,5.92
31.70,5.94
31.61,5.95
28.84,5.92
29.71,5.89
29.64,5.86
29.47,5.94
31.03,5.96
29.32,5.95
27.72,5.89
27.62,5.89
27.81,5.91
28.51,5.96
29.08,5.97
29.01,5.90
28.39,5.94
28.17,5.94
27.07,5.93
27.55,5.94
28.58,5.89
27.88,5.84
27.91,5.87
25.91,5.90
25.15,5.89
25.58,5.88
26.18,5.88
27.86,5.85
26.23,5.86
24.47,5.92
28.34,5.90
28.65,5.88
26.90,5.90
26.90,5.93
26.71,5.89
26.32,5.93
28.63,5.92
28.08,5.94
25.31,5.92
25.48,5.90
26.11,5.90
26.49,5.98
28.68,5.98
26.99,5.89
24.91,5.87
25.46,5.90
25.79,5.90
25.19,5.93
25.82,5.94
25.63,5.88
25.72,5.84
26.01,5.88
25.91,5.93
25.91,5.98
24.33,5.94
23.03,5.92
23.34,5.98
21.18,1.23
23.49,2.09
25.03,2.85
23.51,3.47
23.87,4.02
23.10,4.40
22.02,4.71
25.12,4.91
25.41,5.09
23.61,5.28
23.27,5.45
22.29,5.54
22.02,5.61
24.69,5.63
25.72,-599.18
23.15,-478.13
23.61,-381.36
22.55,-303.90
23.99,-241.91
24.98,-192.31
24.50,-152.67
21.45,-120.87
22.38,-95.55
21.42,-75.26
22.72,-59.04
21.86,-46.01
21.73,-35.64
22.43,-27.29
22.12,-20.66
20.61,-15.35
20.44,-11.09
22.58,-7.67
24.16,-4.95
20.87,-2.78
21.45,-1.04
21.57,0.36
20.58,1.52
23.30,2.35
24.02,3.06
22.02,3.68
23.18,4.17
21.88,4.57
21.18,4.85
22.94,5.02
21.64,5.19
21.23,5.38
22.17,5.54
20.89,5.63
20.34,5.71
21.30,5.69
21.83,5.72
24.11,5.79
23.51,5.86
20.73,5.88
19.67,-599.01
19.36,-478.06
20.56,-381.21
22.91,-303.76
20.85,-241.80
19.43,-192.24
18.76,-152.63
21.25,-120.98
19.09,-95.55
19.67,-75.24
21.04,-58.98
19.33,-45.97
20.32,-35.62
19.43,-27.35
16.60,-20.66
19.24,-15.29
21.52,-11.04
20.49,-7.62
21.57,-4.93
19.62,-2.77
17.94,-0.98
20.51,0.43
20.92,1.53
20.63,2.46
21.30,3.14
17.51,3.76
16.88,4.24
18.20,4.59
18.59,4.85
21.16,5.08
20.94,5.25
17.99,5.43
19.02,5.55
18.61,5.62
19.12,5.66
20.63,5.76
19.29,5.81
17.87,5.86
18.35,5.88
19.43,5.86
16.57,5.92
18.90,5.92
20.75,5.94
19.29,5.92
20.27,5.87
17.65,5.85
16.60,5.88
motor throttle setted to 0
-13.74,-0.03
-17.53,-0.02
-20.20,-0.02
-22.58,-0.01
-24.74,-0.02
-26.39,-0.01
-27.52,-0.01
-28.75,-0.00
-30.38,0.00
-31.27,0.02
-31.77,0.01
-32.81,0.00
-33.12,0.00
-33.36,-0.00
-33.98,-0.00
-33.72,-0.02
-33.98,-0.01
-34.56,0.00
-35.11,0.01
-35.14,0.02
