156,26.57,4.64
156,26.79,4.70
156,27.44,4.61
156,27.42,4.62
156,26.62,4.78
156,25.29,4.60
162,25.31,5.19
162,30.54,5.45
162,34.25,5.70
162,32.38,5.77
162,33.74,5.87
162,34.32,5.99
162,36.38,5.79
162,34.49,5.89
162,32.19,5.75
162,35.63,5.86
162,33.01,5.77
162,34.42,5.58
162,37.40,5.62
162,35.58,5.73
162,36.77,5.94
162,34.08,5.80
162,35.65,5.80
162,34.52,5.78
162,36.55,5.77
162,35.41,5.72
162,34.03,5.68
162,35.97,5.66
162,35.61,5.66
162,32.80,5.77
162,35.05,5.69
162,35.15,5.63
162,35.65,5.70
168,35.53,6.67
168,37.86,6.97
168,40.91,6.93
168,40.35,7.01
168,39.99,6.98
168,39.84,7.08
168,39.34,7.14
168,41.08,6.87
168,40.91,7.07
168,41.71,7.02
168,39.92,6.99
168,38.88,7.02
168,40.01,6.85
168,39.48,6.96
168,41.66,6.96
168,43.38,6.98
168,43.60,6.96
168,39.26,6.93
168,43.07,7.07
168,46.07,7.06
168,42.70,6.97
168,39.72,6.79
168,43.91,6.99
168,41.06,6.77
168,42.05,6.91
175,43.36,7.89
175,49.17,8.48
175,50.60,8.53
175,49.41,8.76
175,52.54,8.86
175,49.68,8.82
175,49.85,8.81
175,47.84,8.90
175,46.84,8.79
175,47.21,8.70
175,44.30,8.59
175,44.40,8.68
175,43.53,8.50
175,44.20,8.89
175,46.67,8.64
175,46.82,8.69
175,44.81,8.72
175,44.83,8.67
175,47.69,8.68
175,43.74,8.69
181,47.50,9.78
181,50.16,10.22
181,57.33,10.26
181,53.70,10.42
181,53.41,10.21
181,49.63,10.24
181,51.66,10.40
181,49.90,10.40
181,50.26,10.38
181,48.15,10.45
181,51.95,10.12
181,52.80,10.37
181,48.32,10.34
181,48.68,10.32
181,51.62,10.32
181,47.33,10.35
181,52.05,10.23
181,50.79,10.23
181,50.96,10.31
181,51.47,10.30
181,50.36,10.31
181,52.39,10.26
181,53.00,10.28
181,54.59,10.46
181,50.45,10.27
181,49.14,-4770.66
181,52.03,10.27
181,51.47,10.08
181,51.01,10.36
181,52.49,10.33
181,52.25,10.34
187,49.22,11.70
187,59.46,12.11
187,61.86,12.00
187,64.55,12.17
187,62.54,11.92
187,64.55,12.14
187,65.47,12.04
187,64.72,11.79
187,63.36,-4769.37
187,66.66,11.89
187,64.84,11.80
187,64.86,11.85
187,65.49,12.01
187,65.18,-4749.84
187,63.97,12.06
187,68.11,12.06
187,65.35,12.18
187,64.26,11.97
187,63.02,12.10
187,63.19,12.17
187,64.55,12.08
187,68.30,11.85
187,66.17,12.14
187,67.07,11.84
187,66.10,12.01
187,67.70,12.19
187,68225.39,11.89
187,70.68,12.17
187,66.97,12.03
187,67.12,12.20
187,59.71,12.16
187,67.46,12.07
187,66.61,12.50
193,69.61,13.11
193,74.02,13.72
193,74.84,13.78
193,75.23,13.67
193,72.81,13.68
193,74.84,13.73
193,73.46,13.64
193,73.15,13.71
193,74.26,13.86
193,72.20,13.85
193,71.07,13.82
193,74.19,13.73
193,73.37,13.61
193,72.11,14.01
193,68.55,13.87
193,69.95,13.77
193,68.64,13.64
193,71.84,13.51
193,72.78,13.67
193,69.68,13.40
193,72.08,13.53
193,72.69,13.49
193,71.43,13.48
193,72.83,13.37
193,75.16,13.43
193,72.83,13.73
193,74.53,13.62
193,73.73,13.59
193,73.92,13.68
193,75.52,13.44
193,79.06,13.49
193,75.79,13.64
200,83.39,15.33
200,88.04,15.55
200,85.62,15.55
200,85.57,15.13
200,88.77,15.85
200,89.59,15.54
200,87.80,15.74
200,87.51,15.36
200,86.88,15.74
200,87.41,15.58
200,88.94,15.83
200,90.68,15.77
200,87.03,15.90
200,91.80,15.88
200,90.25,15.96
200,90.32,15.86
200,91.99,15.76
200,90.83,15.82
200,90.83,15.77
200,90.98,15.54
200,88.41,15.88
200,90.90,15.79
200,88.70,15.83
200,89.28,15.83
200,92.53,15.61
206,90.81,16.78
206,97.22,16.98
206,97.27,16.82
206,99.14,17.02
206,95.07,17.10
206,96.28,16.92
206,90.44,17.08
206,94.78,17.10
206,95.84,17.01
206,94.25,16.92
206,89.42,17.17
206,95.60,16.90
206,91.39,17.06
206,95.24,16.67
206,94.58,16.73
206,92.40,16.86
206,92.38,16.82
206,93.30,16.79
206,92.55,16.91
206,90.95,16.99
206,91.27,17.05
206,90.03,17.14
206,94.68,16.84
206,94.25,17.32
206,93.76,17.16
206,90.73,17.10
206,95.60,16.88
206,90.30,17.17
206,93.01,16.97
206,92.84,17.26
206,93.98,17.04
206,93.25,17.08
