200,-132.25,-16962,-136.73
200,-134.43,-17082,-136.73
200,-134.98,-17090,-136.89
200,-136.64,-17008,-137.05
200,-135.62,-16948,-137.315
200,-136.44,-17004,-137.9
200,-138.3,-17061,-138.29
200,-135.6,-17046,-138.525
200,-135.8,-16944,-138.93
200,-137.11,-17174,-139.265
200,-136.18,-17086,-139.66
200,-138.28,-17030,-147.615
200,-138.77,-17109,-160.72
200,-137.52,-17126,-168.06
200,-139.09,-17154,-170.365
200,-139.88,-16930,-171.355
200,-136.99,-17114,-172.065
200,-136.79,-17086,-172.065
200,-136.67,-16983,-172.295
200,-139.44,-17180,-172.72
200,-135.6,-17184,-173.16
212,-155.35,-19956,-173.16
212,-166.09,-20909,-173.16
212,-170.03,-21088,-173.16
212,-170.7,-21131,-173.16
212,-172.12,-21172,-173.405
212,-174.77,-21189,-173.635
212,-172.01,-21351,-173.635
212,-173.81,-21186,-173.885
212,-174.77,-21253,-173.99
212,-174.69,-21224,-173.99
212,-175.39,-21181,-173.99
212,-172.97,-21219,-173.99
212,-174.6,-21163,-174.31
212,-172.47,-21176,-188.51
212,-173.96,-21042,-211.93
212,-171.25,-21050,-221.005
212,-174.02,-21052,-221.235
212,-173.46,-21116,-221.235
212,-173.35,-20966,-221.235
212,-172.27,-21057,-221.235
212,-170.67,-20965,-221.235
212,-172.44,-21165,-221.235
212,-171.22,-21113,-221.235
225,-203,-25536,-221.235
225,-220.86,-26761,-221.235
225,-222.92,-26890,-221.235
225,-223.77,-26974,-221.235
225,-225.43,-26810,-221.235
225,-222.43,-26713,-221.235
225,-222.87,-26805,-221.235
225,-226.8,-26620,-221.235
225,-222.98,-26938,-221.235
225,-225.4,-26853,-221.235
225,-221.32,-27162,-221.235
225,-221.15,-26909,-221.34
225,-221.53,-26879,-222.84
225,-220.42,-26646,-236.95
225,-220.39,-26672,-257.515
225,-219.92,-26765,-266.94
225,-220.01,-26711,-268.645
225,-218.23,-26493,-269.11
225,-219.9,-45146,-270.87
225,-218.09,-26545,-272.355
225,-220.54,-4239307,-273.36
225,-220.51,-26596,-273.36
225,-224.15,-26493,-274.35
237,-249.75,-30823,-274.425
